(1, 0, 22, 13)
(1, 0, 22, 14)
(1, 0, 29, 26)
(2, 0, 22, 8)
(2, 0, 37, 26)
(1, 2, 6, 3)
(1, 2, 27, 40)
(1, 3, 2, 17)
(1, 3, 10, 32)
(1, 3, 16, 32)
(1, 3, 40, 35)
(2, 3, 6, 17)
(2, 3, 9, 23)
(2, 3, 9, 24)
(2, 7, 17, 20)
(2, 7, 24, 32)
(2, 7, 25, 38)
(2, 8, 7, 1)
(2, 8, 38, 21)
(4, 3, 22, 7)
(5, 3, 22, 14)
(5, 3, 27, 19)
(5, 3, 29, 26)
(5, 3, 38, 33)
(6, 3, 25, 21)
(3, 12, 2, 17)
(3, 12, 28, 38)
(4, 7, 3, 5)
(4, 7, 29, 34)
(4, 7, 38, 34)
(4, 8, 22, 13)
(4, 8, 22, 15)
(4, 8, 35, 26)
(9, 4, 28, 14)
(10, 4, 22, 7)
(10, 4, 25, 7)
(4, 11, 2, 17)
(4, 11, 16, 32)
(6, 5, 18, 22)
(5, 12, 25, 21)
(5, 14, 22, 19)
(6, 7, 29, 11)
(6, 7, 37, 21)
(7, 8, 3, 1)
(7, 8, 36, 39)
(9, 7, 7, 15)
(9, 7, 35, 31)
(9, 7, 38, 33)
(7, 11, 2, 10)
(7, 11, 10, 19)
(7, 11, 17, 33)
(7, 11, 28, 34)
(7, 11, 38, 36)
(7, 14, 2, 17)
(7, 14, 16, 32)
(7, 14, 40, 35)
(10, 8, 22, 13)
(10, 8, 29, 26)
(13, 8, 7, 11)
(15, 8, 11, 31)
(9, 12, 30, 26)
(9, 14, 22, 21)
(10, 13, 2, 10)
(10, 13, 9, 17)
(10, 13, 23, 32)
(10, 13, 28, 35)
(10, 13, 30, 34)
(10, 13, 38, 35)
(10, 15, 7, 11)
(11, 12, 13, 4)
(11, 12, 15, 4)
(11, 12, 5, 10)
(11, 12, 11, 21)
(11, 12, 17, 23)
(11, 12, 17, 24)
(11, 12, 19, 32)
(11, 14, 20, 21)
(11, 14, 29, 34)
(11, 17, 15, 11)
(11, 17, 23, 32)
(11, 17, 24, 32)
(11, 17, 25, 38)
(11, 17, 29, 38)
(18, 11, 34, 33)
(11, 19, 40, 35)
(11, 21, 2, 12)
(14, 12, 6, 3)
(12, 17, 9, 12)
(12, 17, 22, 27)
(18, 12, 18, 12)
(12, 19, 12, 15)
(12, 19, 16, 19)
(12, 19, 22, 27)
(12, 19, 27, 25)
(13, 15, 7, 13)
(13, 15, 7, 14)
(13, 15, 22, 13)
(13, 15, 22, 15)
(13, 15, 34, 21)
(13, 15, 35, 26)
(13, 16, 15, 11)
(13, 16, 23, 32)
(13, 16, 29, 38)
(13, 16, 40, 34)
(20, 13, 9, 12)
(20, 13, 12, 13)
(20, 13, 12, 15)
(20, 13, 22, 27)
(14, 17, 17, 19)
(14, 17, 25, 34)
(14, 17, 40, 38)
(18, 14, 22, 14)
(14, 19, 2, 10)
(14, 19, 9, 17)
(14, 19, 16, 23)
(14, 19, 30, 34)
(14, 19, 38, 35)
(14, 21, 12, 15)
(14, 21, 16, 19)
(14, 21, 22, 27)
(20, 15, 40, 26)
(22, 15, 7, 21)
(22, 15, 27, 11)
(24, 15, 22, 4)
(16, 17, 4, 1)
(16, 17, 15, 4)
(16, 17, 5, 10)
(16, 17, 33, 39)
(18, 16, 29, 11)
(18, 16, 40, 19)
(18, 16, 37, 21)
(16, 19, 5, 17)
(16, 19, 6, 10)
(16, 19, 10, 23)
(16, 19, 12, 31)
(16, 19, 20, 39)
(20, 16, 6, 5)
(20, 16, 29, 37)
(16, 21, 16, 23)
(16, 21, 17, 32)
(16, 21, 19, 26)
(16, 21, 28, 35)
(16, 21, 30, 34)
(16, 21, 38, 35)
(22, 16, 22, 7)
(23, 16, 5, 2)
(23, 16, 10, 12)
(23, 16, 18, 27)
(18, 17, 18, 13)
(18, 17, 18, 15)
(18, 17, 22, 15)
(18, 17, 35, 26)
(17, 19, 13, 8)
(21, 17, 16, 17)
(21, 17, 17, 19)
(21, 17, 25, 34)
(23, 17, 6, 2)
(21, 19, 6, 3)
(20, 21, 17, 32)
(20, 21, 19, 26)
(20, 21, 19, 31)
